time,rabbits,deer,wolves,tigers,elephants,grass,attacks,eats,deaths
1.0,28,10,6,3,2,39,9,13,9
2.0,28,10,6,3,2,34,9,19,9
3.0,28,10,6,3,2,32,9,22,9
4.0,28,10,6,3,2,31,9,23,9
5.1,28,10,6,3,2,29,9,25,9
6.1,28,10,6,3,2,27,9,29,9
7.1,28,9,6,3,2,27,10,29,10
8.1,28,9,6,3,2,25,10,33,10
9.1,28,9,6,3,2,25,10,34,10
10.1,28,9,6,3,2,25,10,34,10
11.1,28,9,6,3,2,25,10,34,10
12.1,28,9,6,3,2,23,10,36,10
13.1,28,9,6,3,2,22,10,37,10
14.1,28,9,6,3,2,22,10,37,10
15.1,28,9,6,3,2,21,10,38,10
16.1,28,9,6,3,2,21,10,38,10
17.2,28,9,6,3,2,21,10,38,10
18.2,28,9,6,3,2,21,10,38,10
19.2,28,9,6,3,2,21,10,38,10
20.2,28,8,6,3,2,21,11,38,11
21.2,28,8,6,3,2,21,11,38,11
22.2,28,8,6,3,2,21,11,38,11
23.2,28,8,6,3,2,21,11,38,11
24.2,28,8,6,3,2,21,11,38,11
25.2,28,8,6,3,2,21,11,38,11
26.3,28,8,6,3,2,21,11,38,11
27.3,28,8,6,3,2,21,11,38,11
28.3,28,8,6,3,2,21,11,38,11
29.3,28,8,6,3,2,21,11,38,11
30.3,28,8,6,3,2,21,11,39,11
31.3,28,8,6,3,2,21,11,39,11
32.3,28,8,6,3,2,21,11,39,11
33.3,25,7,6,3,2,21,15,39,15
34.3,25,7,6,3,2,21,15,39,15
35.3,25,7,6,3,2,21,15,39,15
36.3,25,7,6,3,2,21,15,39,15
37.4,24,7,6,3,2,21,16,39,16
38.4,24,7,6,3,2,21,16,39,16
39.4,23,7,6,3,2,21,17,39,17
40.4,22,7,6,3,2,21,18,40,18
41.4,22,7,6,3,2,19,18,42,18
42.4,22,7,6,3,2,19,18,42,18
43.4,22,14,6,3,2,18,18,43,18
44.4,22,14,6,3,2,18,18,43,18
45.4,22,14,6,3,2,18,18,43,18
46.4,22,14,6,3,2,17,18,44,18
47.5,22,14,6,3,2,16,18,46,18
48.5,22,14,6,3,2,16,18,46,18
49.5,22,14,6,3,2,16,18,46,18
50.5,22,14,6,3,2,15,18,47,18
51.5,22,14,6,3,2,17,18,48,18
52.5,22,14,6,3,2,16,18,49,18
53.5,22,14,6,3,2,16,18,49,18
54.5,22,14,6,3,2,14,18,51,18
55.5,22,14,6,3,2,15,18,51,18
56.5,20,14,6,3,2,16,20,53,20
57.5,20,14,6,3,2,14,20,56,20
58.6,20,28,6,3,2,12,20,58,20
59.6,20,28,6,3,2,12,20,58,20
60.6,20,28,6,3,2,12,20,58,20
61.6,20,28,6,3,2,11,20,59,20
62.6,20,28,6,3,2,11,20,59,20
63.6,20,28,6,3,2,10,20,60,20
64.6,20,28,6,3,2,10,20,60,20
65.6,20,28,6,3,2,10,20,60,20
